SubjectID,Set,Jname,RA,Dec,SDSS_ObjId
18277374,SDRAGN08,J161948.86+300607.8,244.9536,30.1022,1237661465990332701
18315455,Green02,J162807.68+131917.4,247.032,13.3215,1237665548903776603
18277376,SDRAGN08,J163028.02+260731.8,247.6168,26.1255,1237662336259064742
18277377,SDRAGN08,J163218.08+475616.3,248.0753,47.9379,1237651715334669447
18277379,SDRAGN08,J163300.85+084736.4,248.2536,8.7935,1237668271381545661
18835845,Green03,J163442.93+414418.4,248.6789,41.7384,1237655375183610180
18277380,SDRAGN08,J163624.97+243230.8,249.104,24.5419,1237662642271749016
18277381,SDRAGN08,J164351.20+424953.6,250.9633,42.8316,1237671934429233744
18277382,SDRAGN08,J164604.10+513024.0,251.5171,51.5067,1237668503831511863
18277384,SDRAGN08,J164628.41+383116.0,251.6184,38.5211,1237655501885145174
18277385,SDRAGN08,J164846.76+445651.3,252.1948,44.9476,1237665569295631016
18277387,SDRAGN08,J165304.66+240409.2,253.2694,24.0692,1237662474236134007
18823886,SDRAGN09,J16562058+6407529,254.0859,64.1314,1237671940340711578
18277388,SDRAGN08,J170729.18+223803.4,256.8716,22.6343,1237662302453302091
18315459,Green02,J170813.95+361326.6,257.05813,36.22406,1237671935506514424
18277390,SDRAGN08,J170953.87+410503.8,257.4745,41.0844,1237665582184726842
18277392,SDRAGN08,J171223.15+640157.0,258.0965,64.0325,1237671939804561468
18823887,SDRAGN09,J171845.25+364911.0,259.6885,36.8197,1237665582186693722
18823888,SDRAGN09,J171921.73+401958.8,259.8405,40.333,1237668354037121697
18979121,SDRAGN09,J172107.89+262432.1,260.2829,26.4089,1237655473438851724
18823889,SDRAGN09,J172853.38+342348.1,262.2224,34.3967,1237665583261811843
18823890,SDRAGN09,J214110.61+082132.6,325.2942,8.3591,1237678847182701297
18823891,SDRAGN09,J215849.31+013153.5,329.7055,1.5315,1237678596466606680
18315467,Green02,J221830.16+001221.1,334.62567,0.20588,1237663479259332945
18823892,SDRAGN09,J224154.23+081310.3,340.476,8.2195,1237679008243385089
18828277,Green03,J231252.07+051649.6,348.21696,5.28044,1237679006095377117
18823893,SDRAGN09,J231620.15-010207.3,349.084,-1.0354,1237656906350330225
18315480,Green02,J231635.19+040518.3,349.14663,4.08842,1237679004485156934
18315471,Green02,J233640.30+084955.1,354.16792,8.83197,1237672837448401092
